CZ_NAME,event_count_2000_2005,event_count_2018_2023,rate_change_percent
GORDON,18.0,4.0,-77.77777777777779
GRADY,2.0,3.0,50.0
GREENE,3.0,4.0,33.33333333333333
GWINNETT,12.0,6.0,-50.0
HABERSHAM,12.0,12.0,0.0
HALL,6.0,11.0,83.33333333333334
HANCOCK,1.0,2.0,100.0
HARALSON,9.0,0.0,-100.0
HARRIS,6.0,6.0,0.0
HART,5.0,2.0,-60.0
HEARD,5.0,0.0,-100.0
HENRY,5.0,3.0,-40.0
HOUSTON,6.0,4.0,-33.33333333333333
INLAND CAMDEN,2.0,0.0,-100.0
INLAND GLYNN,1.0,0.0,-100.0
IRWIN,1.0,15.0,1400.0
JACKSON,4.0,6.0,50.0
JASPER,1.0,3.0,200.0
JEFF DAVIS,2.0,2.0,0.0
JENKINS,2.0,0.0,-100.0
JOHNSON,2.0,0.0,-100.0
JONES,5.0,6.0,20.0
LAMAR,5.0,3.0,-40.0
LAURENS,5.0,15.0,200.0
LEE,2.0,19.0,850.0
LIBERTY,5.0,0.0,-100.0
LONG,2.0,0.0,-100.0
LOWNDES,4.0,34.0,750.0
LUMPKIN,2.0,6.0,200.0
MACON,4.0,3.0,-25.0
MADISON,3.0,0.0,-100.0
MARION,3.0,2.0,-33.33333333333333
MCDUFFIE,1.0,0.0,-100.0
MCINTOSH,4.0,0.0,-100.0
MERIWETHER,7.0,4.0,-42.857142857142854
MILLER,1.0,3.0,200.0
MONROE,2.0,5.0,150.0
MONTGOMERY,3.0,2.0,-33.33333333333333
MORGAN,5.0,7.0,40.0
MURRAY,12.0,2.0,-83.33333333333334
MUSCOGEE,10.0,9.0,-10.0
NEWTON,4.0,2.0,-50.0
NORTH FULTON,3.0,0.0,-100.0
OCONEE,1.0,1.0,0.0
OGLETHORPE,2.0,0.0,-100.0
PAULDING,7.0,16.0,128.57142857142858
PEACH,6.0,2.0,-66.66666666666666
PICKENS,6.0,5.0,-16.666666666666664
PIERCE,1.0,1.0,0.0
PIKE,9.0,23.0,155.55555555555557
POLK,7.0,14.0,100.0
PULASKI,7.0,1.0,-85.71428571428571
PUTNAM,6.0,8.0,33.33333333333333
RABUN,9.0,9.0,0.0
RANDOLPH,1.0,2.0,100.0
RICHMOND,4.0,5.0,25.0
ROCKDALE,6.0,2.0,-66.66666666666666
SCHLEY,1.0,0.0,-100.0
SCREVEN,1.0,1.0,0.0
SEMINOLE,3.0,4.0,33.33333333333333
SOUTH FULTON,2.0,0.0,-100.0
SPALDING,5.0,4.0,-20.0
STEPHENS,7.0,1.0,-85.71428571428571
STEWART,1.0,0.0,-100.0
SUMTER,8.0,1.0,-87.5
TALBOT,3.0,8.0,166.66666666666669
TALIAFERRO,4.0,1.0,-75.0
TATTNALL,7.0,0.0,-100.0
TAYLOR,3.0,0.0,-100.0
TELFAIR,4.0,3.0,-25.0
TERRELL,1.0,2.0,100.0
THOMAS,2.0,17.0,750.0
TOOMBS,3.0,3.0,0.0
TOWNS,3.0,1.0,-66.66666666666666
TREUTLEN,2.0,0.0,-100.0
TROUP,6.0,6.0,0.0
TWIGGS,1.0,1.0,0.0
UNION,5.0,19.0,280.0
UPSON,16.0,14.0,-12.5
WALKER,5.0,5.0,0.0
WALTON,7.0,13.0,85.71428571428571
WARE,2.0,2.0,0.0
WAYNE,4.0,3.0,-25.0
WEBSTER,3.0,0.0,-100.0
WHEELER,1.0,0.0,-100.0
WHITE,5.0,36.0,620.0
WHITFIELD,8.0,20.0,150.0
WILCOX,3.0,3.0,0.0
WILKES,3.0,3.0,0.0
WILKINSON,1.0,2.0,100.0
WORTH,1.0,26.0,2500.0
COASTAL CHATHAM,0.0,9.0,
COASTAL MCINTOSH,0.0,2.0,
GLASCOCK,0.0,1.0,
JEFFERSON,0.0,2.0,
LANIER,0.0,1.0,
LINCOLN,0.0,4.0,
MITCHELL,0.0,8.0,
TIFT,0.0,11.0,
TURNER,0.0,26.0,
WASHINGTON,0.0,5.0,
