CZ_NAME,sum_2000_2005,sum_2018_2023,rate_of_change,rate_of_change (%)
PUTNAM,6.0,8.0,0.14285714285714285,14.285714285714285
RABUN,9.0,9.0,0.0,0.0
RANDOLPH,1.0,2.0,0.3333333333333333,33.33333333333333
RICHMOND,4.0,5.0,0.1111111111111111,11.11111111111111
ROCKDALE,6.0,2.0,-0.5,-50.0
SCHLEY,1.0,0.0,-1.0,-100.0
SCREVEN,1.0,1.0,0.0,0.0
SEMINOLE,3.0,4.0,0.14285714285714285,14.285714285714285
SOUTH FULTON,2.0,0.0,-1.0,-100.0
SPALDING,5.0,4.0,-0.1111111111111111,-11.11111111111111
STEPHENS,7.0,1.0,-0.75,-75.0
STEWART,1.0,0.0,-1.0,-100.0
SUMTER,8.0,1.0,-0.7777777777777778,-77.77777777777779
TALBOT,3.0,8.0,0.45454545454545453,45.45454545454545
TALIAFERRO,4.0,1.0,-0.6,-60.0
TATTNALL,7.0,0.0,-1.0,-100.0
TAYLOR,3.0,0.0,-1.0,-100.0
TELFAIR,4.0,3.0,-0.14285714285714285,-14.285714285714285
TERRELL,1.0,2.0,0.3333333333333333,33.33333333333333
THOMAS,2.0,17.0,0.7894736842105263,78.94736842105263
TOOMBS,3.0,3.0,0.0,0.0
TOWNS,3.0,1.0,-0.5,-50.0
TREUTLEN,2.0,0.0,-1.0,-100.0
TROUP,6.0,6.0,0.0,0.0
TWIGGS,1.0,1.0,0.0,0.0
UNION,5.0,19.0,0.5833333333333334,58.333333333333336
UPSON,16.0,14.0,-0.06666666666666667,-6.666666666666667
WALKER,5.0,5.0,0.0,0.0
WALTON,7.0,13.0,0.3,30.0
WARE,2.0,2.0,0.0,0.0
WAYNE,4.0,3.0,-0.14285714285714285,-14.285714285714285
WEBSTER,3.0,0.0,-1.0,-100.0
WHEELER,1.0,0.0,-1.0,-100.0
WHITE,5.0,36.0,0.7560975609756098,75.60975609756098
WHITFIELD,8.0,20.0,0.42857142857142855,42.857142857142854
WILCOX,3.0,3.0,0.0,0.0
WILKES,3.0,3.0,0.0,0.0
WILKINSON,1.0,2.0,0.3333333333333333,33.33333333333333
WORTH,1.0,26.0,0.9259259259259259,92.5925925925926
COASTAL CHATHAM,0.0,9.0,1.0,100.0
COASTAL MCINTOSH,0.0,2.0,1.0,100.0
GLASCOCK,0.0,1.0,1.0,100.0
JEFFERSON,0.0,2.0,1.0,100.0
LANIER,0.0,1.0,1.0,100.0
LINCOLN,0.0,4.0,1.0,100.0
MITCHELL,0.0,8.0,1.0,100.0
TIFT,0.0,11.0,1.0,100.0
TURNER,0.0,26.0,1.0,100.0
WASHINGTON,0.0,5.0,1.0,100.0
